epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,357.059,1.51819,1.15574,1.50089,0.73577,0.59406,0.66021,0.31825,1.93989,1.37423,1.93678,0.0016535,0.0016535,0.0016535
72,361.859,1.49658,1.117,1.45401,0.75227,0.59131,0.67475,0.32321,1.92624,1.35383,1.92323,0.00164855,0.00164855,0.00164855
73,366.671,1.47555,1.09827,1.44369,0.69283,0.67327,0.68315,0.33629,1.93709,1.39923,1.91337,0.0016436,0.0016436,0.0016436
74,371.688,1.53613,1.11899,1.47945,0.71224,0.65017,0.68662,0.32898,1.94169,1.36599,1.88428,0.00163865,0.00163865,0.00163865
75,376.586,1.49915,1.11649,1.46277,0.74985,0.60396,0.67368,0.32435,1.92597,1.31558,1.90558,0.0016337,0.0016337,0.0016337
76,381.457,1.45762,1.0784,1.41686,0.67363,0.63366,0.65804,0.30722,1.96908,1.37182,1.92904,0.00162875,0.00162875,0.00162875
77,386.463,1.52982,1.11062,1.45617,0.7084,0.62046,0.6533,0.3153,1.93702,1.37931,1.92281,0.0016238,0.0016238,0.0016238
78,391.478,1.50432,1.09759,1.45909,0.64363,0.68647,0.66989,0.331,1.95221,1.33232,1.92949,0.00161885,0.00161885,0.00161885
79,396.299,1.47665,1.06296,1.43386,0.72069,0.60396,0.66063,0.32426,1.95907,1.36736,1.93359,0.0016139,0.0016139,0.0016139
80,401.155,1.5145,1.08656,1.44937,0.72313,0.61201,0.67185,0.31131,1.97497,1.33285,1.90343,0.00160895,0.00160895,0.00160895
81,406.253,1.4643,1.06103,1.41295,0.73178,0.63036,0.69383,0.33153,1.98623,1.3076,1.94855,0.001604,0.001604,0.001604
82,411.108,1.49079,1.09524,1.46249,0.73756,0.6029,0.68423,0.3345,1.91443,1.29246,1.88727,0.00159905,0.00159905,0.00159905
83,416.004,1.49772,1.07521,1.44829,0.70641,0.65017,0.7017,0.3293,1.95001,1.24847,1.92251,0.0015941,0.0015941,0.0015941
84,421.076,1.45529,1.03607,1.4007,0.72709,0.63366,0.68596,0.32965,1.91344,1.28122,1.89075,0.00158915,0.00158915,0.00158915
85,425.994,1.52252,1.09094,1.48595,0.71281,0.62256,0.6574,0.32017,1.91525,1.34015,1.89296,0.0015842,0.0015842,0.0015842
86,430.699,1.42884,1.03587,1.3862,0.73506,0.62046,0.65729,0.31148,1.95526,1.34775,1.94185,0.00157925,0.00157925,0.00157925
87,435.633,1.447,1.05889,1.39453,0.70514,0.65509,0.68796,0.32902,1.94231,1.29404,1.93205,0.0015743,0.0015743,0.0015743
88,440.635,1.48258,1.05334,1.40439,0.75039,0.64356,0.69449,0.32646,1.97674,1.24526,1.96877,0.00156935,0.00156935,0.00156935
89,445.441,1.45138,1.05478,1.42331,0.76719,0.59076,0.66238,0.3184,2.01239,1.29837,2.01117,0.0015644,0.0015644,0.0015644
90,450.261,1.45826,1.05051,1.42165,0.71428,0.61055,0.65561,0.31463,1.95408,1.29646,1.95383,0.00155945,0.00155945,0.00155945
91,455.294,1.39561,0.97339,1.37859,0.69651,0.67987,0.6775,0.31969,1.96203,1.31133,1.93812,0.0015545,0.0015545,0.0015545
92,460.119,1.42002,1.00108,1.39446,0.77616,0.58363,0.65872,0.31829,1.97412,1.31445,1.9442,0.00154955,0.00154955,0.00154955
93,465.047,1.44309,0.99912,1.41632,0.76612,0.63366,0.68237,0.32976,1.97426,1.33068,1.97937,0.0015446,0.0015446,0.0015446
94,470.141,1.45239,1.03269,1.40056,0.69407,0.66007,0.67165,0.31188,2.04611,1.34368,1.99191,0.00153965,0.00153965,0.00153965
95,475.111,1.42521,1.03083,1.42175,0.67999,0.63818,0.66159,0.32502,1.96111,1.28501,1.93053,0.0015347,0.0015347,0.0015347
96,479.958,1.389,0.99862,1.3683,0.67774,0.67987,0.68083,0.32016,1.96437,1.34243,1.93605,0.00152975,0.00152975,0.00152975
97,484.911,1.42181,1.01579,1.39342,0.6829,0.66007,0.66836,0.3191,1.96175,1.30194,1.96605,0.0015248,0.0015248,0.0015248
98,489.804,1.38554,0.98831,1.35047,0.64561,0.63036,0.64561,0.31634,1.94399,1.36756,1.95849,0.00151985,0.00151985,0.00151985
99,494.704,1.38942,0.98178,1.37294,0.70755,0.62281,0.64918,0.32143,1.91956,1.30162,1.93751,0.0015149,0.0015149,0.0015149
100,499.353,1.36433,0.9711,1.34606,0.73525,0.66337,0.67184,0.31254,1.95436,1.28183,1.94844,0.00150995,0.00150995,0.00150995
101,504.404,1.38762,0.99421,1.38107,0.71284,0.65017,0.66634,0.31391,1.95429,1.29597,1.95472,0.001505,0.001505,0.001505
102,509.314,1.3703,0.96044,1.37594,0.74832,0.61716,0.66497,0.31569,1.9986,1.32676,2.02296,0.00150005,0.00150005,0.00150005
103,514.128,1.35662,0.91362,1.34297,0.78015,0.62706,0.70695,0.3267,1.9921,1.2748,1.957,0.0014951,0.0014951,0.0014951
104,519.135,1.37499,0.95948,1.34599,0.65985,0.65017,0.66125,0.31134,1.99054,1.34099,1.94928,0.00149015,0.00149015,0.00149015
105,523.997,1.39721,0.98326,1.3857,0.76906,0.61716,0.67872,0.31555,2.01001,1.31566,1.98377,0.0014852,0.0014852,0.0014852
106,528.905,1.38008,0.97001,1.37562,0.76556,0.63366,0.69285,0.33268,1.96714,1.29535,1.97599,0.00148025,0.00148025,0.00148025
107,533.842,1.37049,0.96452,1.38143,0.71288,0.66667,0.68588,0.32393,1.94205,1.27933,1.98944,0.0014753,0.0014753,0.0014753
108,538.936,1.35838,0.92602,1.36885,0.70637,0.66337,0.68491,0.3247,1.9804,1.29073,1.99366,0.00147035,0.00147035,0.00147035
109,543.777,1.38325,0.97406,1.3778,0.733,0.65677,0.68869,0.32188,1.95978,1.33008,1.97774,0.0014654,0.0014654,0.0014654
110,548.842,1.31065,0.9278,1.34613,0.74162,0.67258,0.70604,0.33695,1.96194,1.31563,1.9988,0.00146045,0.00146045,0.00146045
111,553.918,1.34885,0.94132,1.34488,0.74027,0.64686,0.68311,0.32351,2.02747,1.36384,2.02756,0.0014555,0.0014555,0.0014555
112,558.729,1.33605,0.92752,1.35543,0.68364,0.66337,0.69426,0.31878,1.99733,1.29853,2.03402,0.00145055,0.00145055,0.00145055
113,563.34,1.32817,0.95137,1.33976,0.74027,0.64026,0.68255,0.3224,1.97223,1.29712,1.99612,0.0014456,0.0014456,0.0014456
114,568.343,1.32482,0.96226,1.3389,0.702,0.64356,0.6629,0.3159,1.95747,1.27254,1.99567,0.00144065,0.00144065,0.00144065
115,573.349,1.33938,0.96733,1.33666,0.74458,0.62535,0.67445,0.31605,2.00181,1.26141,2.05891,0.0014357,0.0014357,0.0014357
116,578.207,1.30904,0.9297,1.33869,0.6923,0.64602,0.67182,0.32893,2.01979,1.24031,2.06249,0.00143075,0.00143075,0.00143075
117,583.147,1.342,0.93276,1.34869,0.72365,0.62706,0.65726,0.31268,2.01276,1.25836,2.08992,0.0014258,0.0014258,0.0014258
118,588.226,1.32816,0.89781,1.34198,0.71821,0.62376,0.67371,0.32608,1.95881,1.31421,1.98122,0.00142085,0.00142085,0.00142085
119,593.133,1.28145,0.92313,1.34192,0.66252,0.66667,0.6658,0.32021,1.95163,1.29744,2.00526,0.0014159,0.0014159,0.0014159
120,597.979,1.35095,0.94116,1.36279,0.69769,0.63036,0.6424,0.31006,1.96618,1.26199,2.00652,0.00141095,0.00141095,0.00141095
121,602.95,1.33159,0.93305,1.34335,0.62837,0.67327,0.6394,0.30847,1.97479,1.33888,2.04778,0.001406,0.001406,0.001406
122,607.898,1.33568,0.90821,1.33381,0.70426,0.62089,0.64991,0.29929,2.02813,1.24689,2.0986,0.00140105,0.00140105,0.00140105
123,612.683,1.29826,0.92307,1.33859,0.65918,0.65017,0.65677,0.31539,1.99154,1.31392,2.02859,0.0013961,0.0013961,0.0013961
