epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,556.567,1.1699,0.81857,1.34335,0.93181,0.91279,0.94801,0.63084,1.24643,0.65334,1.52145,0.0016535,0.0016535,0.0016535
72,564.177,1.14413,0.78316,1.29776,0.93553,0.93023,0.94667,0.61255,1.28651,0.64647,1.52356,0.00164855,0.00164855,0.00164855
73,571.938,1.20491,0.80735,1.34899,0.91566,0.89535,0.92514,0.5983,1.30718,0.69433,1.55232,0.0016436,0.0016436,0.0016436
74,579.329,1.17639,0.83518,1.34627,0.90772,0.93605,0.94539,0.62351,1.2811,0.65094,1.54953,0.00163865,0.00163865,0.00163865
75,586.957,1.20366,0.80215,1.32363,0.89941,0.93605,0.96125,0.59986,1.35904,0.64856,1.61042,0.0016337,0.0016337,0.0016337
76,594.43,1.17673,0.80033,1.32578,0.94079,0.9237,0.9615,0.62855,1.28019,0.62256,1.53216,0.00162875,0.00162875,0.00162875
77,602.182,1.17837,0.7728,1.31989,0.93253,0.96512,0.96655,0.62945,1.29016,0.62493,1.53576,0.0016238,0.0016238,0.0016238
78,609.832,1.18555,0.78126,1.3159,0.94785,0.95349,0.96201,0.61004,1.28262,0.60826,1.54569,0.00161885,0.00161885,0.00161885
79,617.551,1.2026,0.79019,1.32024,0.92968,0.92442,0.94961,0.59925,1.31735,0.64848,1.56705,0.0016139,0.0016139,0.0016139
80,625.176,1.14898,0.73753,1.30631,0.9161,0.9593,0.95371,0.63031,1.27875,0.63879,1.54828,0.00160895,0.00160895,0.00160895
81,632.663,1.1914,0.77012,1.31229,0.9418,0.9409,0.95479,0.63179,1.28663,0.60903,1.56026,0.001604,0.001604,0.001604
82,640.344,1.15866,0.74333,1.30222,0.91004,0.94101,0.94385,0.61251,1.29878,0.64426,1.57259,0.00159905,0.00159905,0.00159905
83,647.944,1.14275,0.75702,1.28427,0.93281,0.93023,0.9608,0.61062,1.30198,0.65317,1.56959,0.0015941,0.0015941,0.0015941
84,655.704,1.11526,0.70575,1.26336,0.94211,0.94616,0.97248,0.62986,1.26041,0.65713,1.54757,0.00158915,0.00158915,0.00158915
85,663.506,1.16112,0.77155,1.29729,0.95168,0.91603,0.95424,0.60499,1.29617,0.68159,1.58243,0.0015842,0.0015842,0.0015842
86,671.292,1.11263,0.74734,1.28559,0.90245,0.93605,0.96279,0.6364,1.25182,0.62357,1.51651,0.00157925,0.00157925,0.00157925
87,678.927,1.16489,0.77524,1.31609,0.92683,0.95734,0.96058,0.62513,1.29953,0.61351,1.56426,0.0015743,0.0015743,0.0015743
88,686.852,1.14997,0.75141,1.28711,0.96076,0.93605,0.97117,0.6398,1.25026,0.6019,1.54045,0.00156935,0.00156935,0.00156935
89,694.477,1.11827,0.70171,1.27521,0.96107,0.94767,0.95338,0.62696,1.25953,0.60851,1.51657,0.0015644,0.0015644,0.0015644
90,702.325,1.15177,0.74924,1.26811,0.9546,0.95349,0.96922,0.6426,1.25485,0.61009,1.52385,0.00155945,0.00155945,0.00155945
91,709.948,1.13088,0.73381,1.28267,0.94212,0.9464,0.96498,0.65594,1.2392,0.58808,1.49035,0.0015545,0.0015545,0.0015545
92,717.857,1.14952,0.74421,1.28668,0.92733,0.97093,0.96566,0.63676,1.26671,0.60863,1.51009,0.00154955,0.00154955,0.00154955
93,725.756,1.14528,0.74947,1.30611,0.95722,0.91062,0.95582,0.63041,1.27778,0.61395,1.51652,0.0015446,0.0015446,0.0015446
94,733.59,1.1189,0.71814,1.26486,0.94161,0.93756,0.9621,0.64391,1.24309,0.59277,1.515,0.00153965,0.00153965,0.00153965
95,741.01,1.123,0.71268,1.28206,0.95521,0.93605,0.96563,0.62512,1.29366,0.60537,1.54827,0.0015347,0.0015347,0.0015347
96,748.619,1.11941,0.68092,1.27139,0.95948,0.96364,0.96307,0.6385,1.23581,0.58758,1.50827,0.00152975,0.00152975,0.00152975
97,756.256,1.09842,0.70989,1.25907,0.93179,0.95306,0.96807,0.64226,1.26465,0.6006,1.50806,0.0015248,0.0015248,0.0015248
