                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.6986,                  1.475,                  1.499,                0.68255,                0.63951,                0.67684,                0.33045,                 1.7088,                  1.435,                 1.5833,              0.0017624,              0.0017624,              0.0017624
                     50,                 1.7071,                 1.5737,                 1.5029,                0.64692,                0.60692,                0.62008,                0.30035,                 1.7796,                  1.539,                  1.597,              0.0017575,              0.0017575,              0.0017575
                     51,                 1.7246,                 1.4781,                 1.5001,                 0.6882,                0.74173,                0.74853,                 0.3823,                 1.6635,                 1.3575,                 1.5036,              0.0017525,              0.0017525,              0.0017525
                     52,                 1.7063,                 1.4796,                 1.4794,                0.74054,                0.66191,                0.73649,                0.37554,                 1.6674,                 1.3591,                 1.5142,              0.0017476,              0.0017476,              0.0017476
                     53,                 1.6959,                 1.4471,                 1.4762,                0.72505,                0.67671,                0.74954,                0.38015,                 1.6706,                 1.3064,                 1.5112,              0.0017426,              0.0017426,              0.0017426
                     54,                 1.6294,                  1.393,                 1.4304,                0.66186,                0.68635,                0.70017,                0.33891,                 1.7111,                 1.4269,                 1.5481,              0.0017376,              0.0017376,              0.0017376
                     55,                 1.6768,                 1.4208,                  1.479,                0.73687,                 0.6721,                0.75127,                0.38714,                  1.653,                 1.2755,                 1.5121,              0.0017327,              0.0017327,              0.0017327
                     56,                 1.6442,                 1.3953,                 1.4597,                0.76162,                0.65784,                0.74636,                0.37125,                 1.6954,                 1.3671,                 1.5504,              0.0017278,              0.0017278,              0.0017278
                     57,                 1.6585,                 1.3547,                 1.4302,                0.74277,                0.66802,                0.74079,                0.39304,                 1.6219,                 1.2876,                 1.4875,              0.0017228,              0.0017228,              0.0017228
                     58,                 1.6537,                 1.3388,                 1.4236,                0.67976,                0.63747,                0.67101,                0.32746,                 1.7696,                 1.4049,                 1.5812,              0.0017179,              0.0017179,              0.0017179
                     59,                 1.6124,                 1.3134,                 1.4199,                0.73387,                0.70672,                0.75773,                0.39369,                 1.6496,                 1.2957,                 1.5224,              0.0017129,              0.0017129,              0.0017129
                     60,                 1.5955,                 1.2925,                 1.4188,                0.72353,                0.73727,                0.75574,                0.39989,                 1.6191,                 1.3072,                  1.492,               0.001708,               0.001708,               0.001708
                     61,                 1.6173,                 1.3333,                  1.413,                0.79308,                0.67006,                0.76938,                0.39878,                 1.6583,                 1.2541,                 1.4981,               0.001703,               0.001703,               0.001703
                     62,                 1.6043,                 1.2944,                 1.4262,                  0.732,                 0.6898,                0.74074,                0.39596,                  1.637,                 1.3108,                 1.5217,               0.001698,               0.001698,               0.001698
                     63,                 1.5696,                 1.2752,                 1.4169,                0.74594,                0.68635,                0.76619,                0.41596,                 1.6288,                 1.2432,                  1.506,              0.0016931,              0.0016931,              0.0016931
                     64,                 1.5867,                 1.2682,                 1.3854,                 0.7452,                0.72505,                0.76733,                0.40988,                 1.6769,                 1.2438,                 1.5241,              0.0016882,              0.0016882,              0.0016882
                     65,                 1.5955,                 1.2543,                  1.403,                0.73265,                0.73931,                0.76603,                0.40854,                 1.6234,                 1.2743,                 1.4886,              0.0016832,              0.0016832,              0.0016832
                     66,                 1.5976,                 1.2795,                 1.4245,                0.73691,                0.71878,                0.78747,                0.43024,                 1.6062,                 1.2287,                 1.4859,              0.0016783,              0.0016783,              0.0016783
                     67,                 1.5491,                 1.2461,                 1.3929,                0.77606,                0.74108,                0.79763,                0.43242,                 1.5743,                 1.1949,                 1.4874,              0.0016733,              0.0016733,              0.0016733
                     68,                 1.5973,                 1.2897,                 1.4189,                0.75098,                0.72301,                0.75542,                0.38901,                 1.6499,                 1.2441,                 1.5104,              0.0016684,              0.0016684,              0.0016684
                     69,                 1.5465,                 1.2403,                 1.3764,                0.71961,                0.69043,                0.74888,                0.40034,                 1.6204,                 1.2597,                 1.5199,              0.0016634,              0.0016634,              0.0016634
                     70,                 1.5402,                 1.2248,                 1.3918,                0.73934,                0.75097,                0.79543,                0.43063,                 1.5874,                 1.1874,                 1.4999,              0.0016585,              0.0016585,              0.0016585
                     71,                 1.5009,                 1.1976,                 1.3672,                0.82185,                0.71487,                0.80748,                0.44749,                 1.5756,                 1.1606,                 1.4717,              0.0016535,              0.0016535,              0.0016535
                     72,                 1.5501,                 1.1909,                 1.3989,                0.76085,                0.75153,                0.78478,                0.43843,                 1.5886,                 1.1781,                 1.5062,              0.0016485,              0.0016485,              0.0016485
                     73,                 1.5056,                 1.1839,                 1.3753,                0.76794,                0.73727,                0.78155,                0.44163,                 1.6012,                 1.1946,                 1.4862,              0.0016436,              0.0016436,              0.0016436
                     74,                 1.5123,                 1.1843,                 1.3641,                0.77917,                0.72912,                 0.7824,                0.42778,                 1.6357,                 1.2201,                 1.4884,              0.0016386,              0.0016386,              0.0016386
                     75,                  1.545,                 1.2139,                 1.3755,                0.76645,                0.72505,                0.77159,                0.42937,                  1.604,                 1.2229,                 1.4814,              0.0016337,              0.0016337,              0.0016337
                     76,                 1.5566,                 1.1746,                 1.3772,                0.73792,                 0.7169,                0.76033,                0.41553,                 1.6293,                 1.2649,                 1.4916,              0.0016287,              0.0016287,              0.0016287
                     77,                 1.5094,                 1.1634,                 1.3451,                0.77256,                0.67105,                 0.7683,                0.42479,                 1.6072,                 1.2328,                  1.492,              0.0016238,              0.0016238,              0.0016238
                     78,                 1.5465,                  1.204,                 1.3651,                0.68551,                0.65173,                0.72011,                 0.3787,                 1.7429,                 1.3142,                 1.5757,              0.0016189,              0.0016189,              0.0016189
                     79,                 1.4561,                 1.1603,                 1.3292,                0.77578,                0.69043,                0.76649,                0.43155,                  1.603,                 1.1975,                 1.4895,              0.0016139,              0.0016139,              0.0016139
                     80,                 1.4675,                 1.1329,                 1.3473,                0.83362,                 0.7556,                 0.8322,                 0.4996,                 1.5148,                 1.0742,                 1.4384,              0.0016089,              0.0016089,              0.0016089
                     81,                 1.4915,                 1.1247,                 1.3544,                0.82474,                0.68024,                0.78933,                0.44304,                 1.6134,                 1.2415,                 1.4619,               0.001604,               0.001604,               0.001604
                     82,                 1.4335,                 1.0536,                 1.2926,                 0.8118,                0.76375,                0.82643,                0.49903,                   1.51,                 1.0688,                 1.4291,              0.0015991,              0.0015991,              0.0015991
                     83,                  1.441,                 1.0779,                 1.3076,                0.80858,                0.72912,                0.80713,                0.48697,                 1.4998,                  1.106,                 1.4177,              0.0015941,              0.0015941,              0.0015941
                     84,                 1.4376,                 1.1134,                 1.3288,                 0.8522,                0.79633,                0.86567,                0.53119,                 1.4771,                0.97926,                 1.4069,              0.0015892,              0.0015892,              0.0015892
                     85,                 1.4057,                 1.0458,                 1.2852,                0.82162,                0.79022,                0.83028,                0.49637,                 1.4964,                 1.0568,                 1.4208,              0.0015842,              0.0015842,              0.0015842
                     86,                 1.4217,                  1.061,                 1.3152,                0.82154,                0.75945,                0.81005,                0.46804,                 1.5509,                 1.0898,                 1.4714,              0.0015793,              0.0015793,              0.0015793
                     87,                 1.4347,                 1.0883,                 1.3298,                0.76415,                0.70468,                0.76554,                0.44526,                 1.5405,                  1.207,                 1.4865,              0.0015743,              0.0015743,              0.0015743
                     88,                 1.4001,                 1.0518,                 1.3194,                0.85732,                 0.8077,                0.85266,                0.52391,                 1.4457,                  1.002,                 1.3999,              0.0015693,              0.0015693,              0.0015693
                     89,                 1.3696,                0.99168,                 1.2686,                0.84676,                0.79904,                0.83212,                0.50355,                 1.4585,                 1.0112,                 1.4198,              0.0015644,              0.0015644,              0.0015644
                     90,                  1.366,                 0.9802,                 1.2752,                0.81835,                0.83096,                0.84606,                0.51861,                  1.454,                 1.0048,                  1.416,              0.0015594,              0.0015594,              0.0015594
                     91,                  1.363,                 1.0111,                 1.2733,                0.81638,                0.79837,                 0.8446,                0.51447,                 1.4758,                 1.0358,                 1.4201,              0.0015545,              0.0015545,              0.0015545
                     92,                 1.4028,                 1.0018,                 1.3022,                0.81689,                0.76323,                0.83349,                0.51635,                 1.4266,                 1.0636,                 1.3834,              0.0015496,              0.0015496,              0.0015496
                     93,                 1.4164,                 1.0426,                 1.2818,                 0.8461,                 0.8062,                0.85126,                 0.5236,                 1.4373,                 1.0138,                 1.3815,              0.0015446,              0.0015446,              0.0015446
                     94,                 1.3577,                 1.0149,                 1.2634,                0.81242,                0.72333,                0.82048,                0.48882,                 1.4806,                 1.1193,                 1.4217,              0.0015397,              0.0015397,              0.0015397
                     95,                 1.3886,                 1.0413,                 1.2867,                0.80414,                0.79226,                0.84107,                0.52052,                 1.4492,                 1.0289,                 1.4117,              0.0015347,              0.0015347,              0.0015347
                     96,                 1.3848,                 1.0219,                 1.2915,                0.82025,                0.73116,                0.82233,                0.49343,                 1.4831,                 1.1124,                  1.437,              0.0015298,              0.0015298,              0.0015298
                     97,                 1.3374,                0.97994,                 1.2593,                0.80405,                0.77597,                 0.8443,                0.51844,                 1.4605,                 1.0518,                 1.4138,              0.0015248,              0.0015248,              0.0015248
                     98,                 1.3753,                 1.0136,                 1.2917,                0.85578,                0.78004,                0.85472,                 0.5265,                 1.4277,                 1.0123,                 1.3867,              0.0015199,              0.0015199,              0.0015199
                     99,                 1.3519,                 1.0073,                 1.2729,                 0.8655,                0.75967,                0.84705,                0.52207,                 1.4599,                  1.038,                 1.4022,              0.0015149,              0.0015149,              0.0015149
                    100,                 1.3562,                 1.0075,                 1.2628,                0.83406,                0.78826,                0.84386,                0.52297,                 1.4616,                 1.0215,                 1.4191,              0.0015099,              0.0015099,              0.0015099
                    101,                 1.3641,                 1.0087,                 1.2667,                0.80877,                0.77525,                0.84311,                0.51222,                 1.5155,                 1.0545,                 1.4464,               0.001505,               0.001505,               0.001505
                    102,                 1.3091,                0.98737,                 1.2426,                0.82513,                0.80726,                0.86055,                0.53542,                 1.4286,                0.99867,                 1.3935,              0.0015001,              0.0015001,              0.0015001
                    103,                 1.3127,                0.99557,                 1.2493,                0.85445,                0.81301,                0.86743,                0.54223,                 1.4151,                0.95611,                 1.3743,              0.0014951,              0.0014951,              0.0014951
                    104,                 1.3346,                0.97474,                 1.2553,                0.83037,                0.81874,                0.87503,                0.52861,                 1.5057,                0.97304,                 1.4407,              0.0014901,              0.0014901,              0.0014901
                    105,                 1.3772,                0.98949,                 1.2851,                0.83969,                0.80041,                0.84878,                0.51637,                 1.4856,                0.98107,                 1.4253,              0.0014852,              0.0014852,              0.0014852
                    106,                 1.4055,                0.98962,                 1.3098,                0.75181,                0.74745,                0.80116,                0.47147,                 1.6155,                 1.1336,                 1.5402,              0.0014803,              0.0014803,              0.0014803
                    107,                 1.3484,                0.96035,                 1.2514,                0.81013,                0.83096,                0.85875,                0.53802,                 1.4336,                0.96847,                 1.3965,              0.0014753,              0.0014753,              0.0014753
                    108,                 1.2844,                0.89894,                 1.2397,                0.88254,                0.81466,                0.86939,                0.55673,                 1.3761,                0.91613,                 1.3562,              0.0014703,              0.0014703,              0.0014703
                    109,                 1.2823,                0.89083,                 1.2285,                0.84209,                0.83299,                0.87192,                0.56022,                 1.3846,                0.93258,                 1.3691,              0.0014654,              0.0014654,              0.0014654
                    110,                 1.2723,                0.90801,                 1.2322,                0.88534,                0.78615,                0.86598,                0.55733,                 1.4331,                0.94936,                 1.3849,              0.0014605,              0.0014605,              0.0014605
                    111,                 1.2922,                0.94074,                 1.2096,                0.89235,                 0.8104,                0.87921,                0.55607,                 1.3894,                0.91587,                 1.3471,              0.0014555,              0.0014555,              0.0014555
                    112,                 1.3057,                0.91435,                 1.2303,                0.89157,                0.83736,                0.88303,                 0.5722,                 1.3658,                 0.8996,                 1.3369,              0.0014505,              0.0014505,              0.0014505
                    113,                 1.2647,                0.89177,                  1.205,                0.86482,                0.80448,                0.85911,                0.55368,                 1.3792,                0.94023,                 1.3642,              0.0014456,              0.0014456,              0.0014456
                    114,                 1.3171,                0.91002,                 1.2463,                0.84429,                0.79512,                0.86034,                0.55842,                 1.3694,                0.95759,                 1.3492,              0.0014406,              0.0014406,              0.0014406
                    115,                 1.2889,                0.91502,                  1.222,                0.85711,                0.81059,                0.86669,                  0.554,                 1.3923,                0.95209,                 1.3559,              0.0014357,              0.0014357,              0.0014357
                    116,                 1.2717,                0.89281,                 1.1998,                0.89144,                0.78819,                0.86648,                0.56904,                 1.3497,                0.95268,                 1.3384,              0.0014307,              0.0014307,              0.0014307
                    117,                 1.2848,                0.92896,                 1.2304,                0.82479,                  0.767,                0.84382,                0.54255,                 1.4041,                  1.004,                 1.3752,              0.0014258,              0.0014258,              0.0014258
                    118,                 1.2692,                0.93228,                 1.2102,                0.87309,                0.79865,                0.87235,                0.55798,                 1.3775,                0.95091,                 1.3509,              0.0014208,              0.0014208,              0.0014208
