epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,391.979,1.64151,1.68882,1.68821,0.71419,0.55208,0.63342,0.26656,1.76779,1.58398,1.86336,0.0016337,0.0016337,0.0016337
76,397.03,1.62662,1.60552,1.63825,0.56113,0.65116,0.62082,0.2714,1.72491,1.57406,1.83207,0.00162875,0.00162875,0.00162875
77,402.177,1.59992,1.65093,1.65567,0.64715,0.65116,0.6549,0.27037,1.71823,1.59367,1.85459,0.0016238,0.0016238,0.0016238
78,407.278,1.62447,1.67919,1.66889,0.63818,0.50581,0.60324,0.25854,1.80811,1.62665,1.88454,0.00161885,0.00161885,0.00161885
79,412.389,1.601,1.6429,1.6465,0.55451,0.62237,0.66589,0.29052,1.724,1.54009,1.83903,0.0016139,0.0016139,0.0016139
80,417.556,1.59485,1.57642,1.62015,0.60028,0.63738,0.63229,0.272,1.7634,1.54011,1.85363,0.00160895,0.00160895,0.00160895
81,422.524,1.59582,1.59524,1.64841,0.56913,0.66046,0.65172,0.27247,1.73425,1.55269,1.8598,0.001604,0.001604,0.001604
82,427.592,1.59285,1.54321,1.6332,0.64101,0.59302,0.62791,0.27915,1.78778,1.60247,1.88966,0.00159905,0.00159905,0.00159905
83,432.803,1.61307,1.57654,1.64176,0.61386,0.67442,0.65844,0.29334,1.79108,1.5571,1.87372,0.0015941,0.0015941,0.0015941
84,437.951,1.57756,1.53886,1.6133,0.58986,0.66894,0.66867,0.30297,1.71645,1.54911,1.80735,0.00158915,0.00158915,0.00158915
85,443.028,1.57639,1.58243,1.6224,0.62667,0.60465,0.60794,0.26849,1.73578,1.56262,1.85953,0.0015842,0.0015842,0.0015842
86,448.06,1.5591,1.52525,1.6228,0.6923,0.53488,0.64406,0.31801,1.75258,1.47939,1.90159,0.00157925,0.00157925,0.00157925
